CPU Name,Brand,Generation,Series,Socket,Cores,Threads,GHz,TDP,Price,Link,Store,Model,Image URL
"Intel Core i5-10400 (6C/12T, 2.90 GHz, 12MB Cache, LGA1200, 65W)",Intel,10th,i5,LGA1200,6,12,2.9,65W,129.54,https://www.dateks.lv/cenas/procesori-intel/532960-intel-core-i5-10400-6c-12t-2-90-ghz-12mb-cache-lga1200-65w-,Dateks,Core i5-10400,https://www.dateks.lv/images/pic/1200/1200/886/661.jpg
"Intel Core i3-13100 (4C/8T, 3.40 GHz, 12 MB Cache, LGA1700, 60W)",Intel,13th,i3,LGA1700,4,8,3.4,60W,130.26,https://www.dateks.lv/cenas/procesori-intel/927117-intel-core-i3-13100-4c-8t-3-40-ghz-12-mb-cache-lga1700-60w-,Dateks,Core i3-13100,https://www.dateks.lv/images/pic/1200/1200/127/1354.jpg
"Intel Core i5-14400F (6P+4E/16T, 2.50 GHz, 20MB Cache, LGA1700, 65W), TRAY",Intel,14th,i5,LGA1700,10,16,2.5,65W,131.27,https://www.dateks.lv/cenas/procesori-intel/1051760-intel-core-i5-14400f-6p-4e-16t-2-50-ghz-20mb-cache-lga1700-65w-tray,Dateks,Core i5-14400F,https://www.dateks.lv/images/pic/1200/1200/261/1307.jpg
"Intel Core i5-12400 (6C/12T, 2.50 GHz, 18MB Cache, LGA1700, 65W), TRAY",Intel,12th,i5,LGA1700,6,12,2.5,65W,144.59,https://www.dateks.lv/cenas/procesori-intel/886456-intel-core-i5-12400-6c-12t-2-50-ghz-18mb-cache-lga1700-65w-tray,Dateks,Core i5-12400,https://www.dateks.lv/images/pic/1200/1200/261/1307.jpg
"Intel Core i5-13400F (6P+4E/16T, 2.50 GHz, 20 MB Cache, LGA1700, 65W)",Intel,13th,i5,LGA1700,10,16,2.5,65W,146.08,https://www.dateks.lv/cenas/procesori-intel/927120-intel-core-i5-13400f-6p-4e-16t-2-50-ghz-20-mb-cache-lga1700-65w-,Dateks,Core i5-13400F,https://www.dateks.lv/images/pic/1200/1200/126/1354.jpg
"Intel Core i5-12400 (6C/12T, 2.50 GHz, 18MB Cache, LGA1700, 65W)",Intel,12th,i5,LGA1700,6,12,2.5,65W,153.36,https://www.dateks.lv/cenas/procesori-intel/796786-intel-core-i5-12400-6c-12t-2-50-ghz-18mb-cache-lga1700-65w-,Dateks,Core i5-12400,https://www.dateks.lv/images/pic/1200/1200/215/1117.jpg
"Intel Core i5-13400 (6P+4E/16T, 2.50 GHz, 20MB Cache, LGA1700, 65W), TRAY",Intel,13th,i5,LGA1700,10,16,2.5,65W,153.93,https://www.dateks.lv/cenas/procesori-intel/940355-intel-core-i5-13400-6p-4e-16t-2-50-ghz-20mb-cache-lga1700-65w-tray,Dateks,Core i5-13400,https://www.dateks.lv/images/pic/1200/1200/261/1307.jpg
"Intel Core i5-11600 (6C/12T, 2.80 GHz, 12MB Cache, LGA1200, 65W), TRAY",Intel,11th,i5,LGA1200,6,12,2.8,65W,157.81,https://www.dateks.lv/cenas/procesori-intel/852665-intel-core-i5-11600-6c-12t-2-80-ghz-12mb-cache-lga1200-65w-tray,Dateks,Core i5-11600,https://www.dateks.lv/images/pic/1200/1200/383/1121.jpg
"Intel Core i3-14100T (4C/8T, 2.70 GHz, 12MB Cache, LGA1700, 35W), TRAY",Intel,14th,i3,LGA1700,4,8,2.7,35W,160.41,https://www.dateks.lv/cenas/procesori-intel/1064234-intel-core-i3-14100t-4c-8t-2-70-ghz-12mb-cache-lga1700-35w-tray,Dateks,Core i3-14100T,https://www.dateks.lv/images/pic/1200/1200/890/1577.jpg
"Intel Core i3-12100T (4C/8T, 2.20 GHz, 12MB Cache, LGA1700, 35W), TRAY",Intel,12th,i3,LGA1700,4,8,2.2,35W,160.82,https://www.dateks.lv/cenas/procesori-intel/864626-intel-core-i3-12100t-4c-8t-2-20-ghz-12mb-cache-lga1700-35w-tray,Dateks,Core i3-12100T,https://www.dateks.lv/images/pic/1200/1200/890/1577.jpg
"Intel Core i5-14400 (6P+4E/16T, 2.50 GHz, 20MB Cache, LGA1700, 65W), TRAY",Intel,14th,i5,LGA1700,10,16,2.5,65W,162.34,https://www.dateks.lv/cenas/procesori-intel/1051759-intel-core-i5-14400-6p-4e-16t-2-50-ghz-20mb-cache-lga1700-65w-tray,Dateks,Core i5-14400,https://www.dateks.lv/images/pic/1200/1200/261/1307.jpg
